x   y
2	131982
3	27915
4	11479
5	5705
6	3535
7	2320
8	1647
9	1196
10	918
11	718
12	539
13	477
14	359
15	276
16	248
17	223
18	181
19	145
21	132
20	125
22	103
23	92
24	89
25	81
26	68
27	53
29	51
28	48
32	48
30	45
33	41
31	40
34	38
35	37
36	30
37	30
38	23
42	23
41	22
43	22
40	21
39	20
45	20
49	18
44	14
51	14
50	12
59	12
46	11
47	11
53	11
62	10
52	9
55	9
56	9
67	9
54	8
69	8
48	7
68	7
60	6
64	6
70	6
57	5
61	5
58	4
65	4
71	4
72	4
79	4
84	4
87	4
88	4
118	4
119	4
66	3
74	3
76	3
77	3
80	3
83	3
86	3
89	3
90	3
92	3
93	3
106	3
110	3
126	3
63	2
73	2
75	2
91	2
97	2
98	2
101	2
109	2
120	2
142	2
143	2
150	2
152	2
153	2
170	2
178	2
201	2
243	2
78	1
81	1
82	1
85	1
94	1
95	1
96	1
99	1
103	1
107	1
111	1
112	1
116	1
117	1
121	1
123	1
125	1
128	1
132	1
133	1
135	1
147	1
148	1
155	1
156	1
159	1
161	1
162	1
163	1
172	1
177	1
179	1
180	1
181	1
191	1
195	1
198	1
207	1
208	1
211	1
224	1
236	1
238	1
259	1
264	1
271	1
277	1
279	1
293	1
307	1
344	1
346	1
349	1
356	1
364	1
365	1
389	1
416	1
440	1
455	1
468	1
